fallo,coord,concurrencia,repeticion,warmup_seconds,measure_seconds,fault_probability,delay_seconds,usuarios_objetivo,usuarios_spawneados,requests_total,requests_fail,tasa_error,checkout_total,checkout_fail,checkout_confirmadas,tasa_abortos_checkout,codigos_http_json,latencia_p50_ms,latencia_p95_ms,latencia_p99_ms,throughput_rps,locust_cpu_pct_media,locust_cpu_pct_max,locust_mem_mb_media,locust_mem_mb_max,locust_warning_detected,locust_warning_texto,inicio_epoch,duracion_segundos
timing,2pc,50,4,60.0,90.0,0.1,5.0,50,50,101,39,0.386139,0,0,0,,"{""0"": 38, ""200"": 62, ""500"": 1}",9400,60000,60000,1.5387206570079002,0.0,0.0,71.93,74.12,False,,1788545506.778,90.843
timing,2pc,100,4,60.0,90.0,0.1,5.0,100,100,380,270,0.710526,9,9,0,1.0,"{""0"": 57, ""200"": 110, ""503"": 213}",4700,62000,62000,4.931217331954677,0.0,0.0,75.11,78.06,False,,1788545725.9,90.831
timing,2pc,200,4,60.0,90.0,0.1,5.0,200,200,640,425,0.664062,12,12,0,1.0,"{""0"": 62, ""200"": 215, ""503"": 371}",16000,60000,60000,7.195929657658654,0.0,0.0,78.72,84.29,False,,1788546010.558,91.016
timing,2pc,400,4,60.0,90.0,0.1,5.0,400,400,912,523,0.573465,0,0,0,,"{""0"": 344, ""200"": 389, ""503"": 179}",17000,25000,27000,10.533681493995404,0.0,0.0,93.52,101.08,False,,1788546363.75,91.014
none,saga,50,4,60.0,90.0,0.0,5.0,50,50,174,111,0.637931,0,0,0,,"{""0"": 37, ""200"": 63, ""503"": 74}",3300,60000,60000,1.974894568421238,0.0,0.0,71.44,73.38,False,,1788546600.823,90.817
none,saga,100,4,60.0,90.0,0.0,5.0,100,100,375,247,0.658667,11,11,0,1.0,"{""0"": 70, ""200"": 128, ""500"": 2, ""503"": 179}",4300,60000,60000,4.2285499775880915,0.0,0.0,74.54,77.99,False,,1788546822.005,90.845
none,saga,200,4,60.0,90.0,0.0,5.0,200,200,1038,823,0.792871,14,14,0,1.0,"{""0"": 62, ""200"": 215, ""500"": 2, ""503"": 767}",11000,59000,62000,11.681330629201888,0.0,0.0,80.57,84.56,False,,1788547108.942,90.979
none,saga,400,4,60.0,90.0,0.0,5.0,400,400,1463,1068,0.730007,0,0,0,,"{""0"": 977, ""200"": 395, ""503"": 103}",17000,22000,24000,16.46838959183765,0.0,0.0,95.85,106.18,False,,1788547464.238,91.112
omission,saga,50,4,60.0,90.0,0.1,5.0,50,50,101,37,0.366337,1,1,0,1.0,"{""0"": 36, ""200"": 64, ""500"": 1}",11000,60000,60000,1.4487834406897004,2.17,97.7,71.82,73.91,False,,1788547686.994,90.95
omission,saga,100,4,60.0,90.0,0.1,5.0,100,100,1005,872,0.867662,30,30,0,1.0,"{""200"": 133, ""503"": 872}",4700,15000,38000,11.349183675613963,0.0,0.0,75.06,77.27,False,,1788547907.751,90.979
omission,saga,200,4,60.0,90.0,0.1,5.0,200,200,602,482,0.800664,0,0,0,,"{""0"": 440, ""200"": 120, ""503"": 42}",17000,62000,62000,7.608024737735796,0.0,0.0,80.2,89.24,False,,1788548197.826,90.987
omission,saga,400,4,60.0,90.0,0.1,5.0,400,400,1636,1636,1.0,0,0,0,,"{""0"": 1661}",17000,17000,17000,18.4356853400095,0.0,0.0,96.53,107.12,False,,1788548548.281,91.106
timing,saga,50,4,60.0,90.0,0.1,5.0,50,50,116,50,0.431034,7,7,0,1.0,"{""0"": 50, ""200"": 66}",14000,60000,60000,1.312879318646606,2.32,104.2,71.79,74.04,False,,1788548772.032,90.814
timing,saga,100,4,60.0,90.0,0.1,5.0,100,100,779,622,0.79846,48,45,3,0.9375,"{""0"": 9, ""200"": 154, ""201"": 4, ""500"": 1, ""503"": 614}",3400,31000,62000,8.764319386108903,0.0,0.0,75.33,77.49,False,,1788548990.038,90.842
timing,saga,200,4,60.0,90.0,0.1,5.0,200,200,1086,875,0.805709,7,7,0,1.0,"{""0"": 48, ""200"": 211, ""503"": 836}",9900,29000,60000,12.217263151118761,0.0,0.0,80.6,84.63,False,,1788549276.195,90.885
timing,saga,400,4,60.0,90.0,0.1,5.0,400,400,1114,713,0.640036,0,0,0,,"{""0"": 315, ""200"": 402, ""503"": 398}",17000,36000,41000,12.697736330224942,0.0,0.0,93.92,101.89,False,,1788549629.424,91.037
